,title,company,location,summary,mean_salary
59,data scientist,Nigel Frank International Limited,Newcastle upon Newcastle+3 locations,"building data pipelines using python,.i am working with a newcastle-based client who is looking to expand their team by adding a data scientist who has…",50000.0
60,data scientist - newcastle - gbp55k - azure - pyspark,Nigel Frank International Limited,Newcastle upon Newcastle,"building data pipelines using python, pyspark and databricks in ms azure.ad hoc data governance, assurance, and quality tasks.",50000.0
62,data scientist/ai specialist,Nigel Frank International Limited,Newcastle upon Newcastle•Remote,exposure to analysing sales data.ideally power bi reporting or similar data visualisation background.you won't need to do much data engineering work as they…,45000.0
63,assistant professor in computer science (ai & human systems)...,Newcastle University,Newcastle,"we welcome candidates wishing to work in applied, London-disciplinary, human-facing artificial intelligence (ai), adaptation and personalisation, machine…",42300.0
84,researcher in data science,University of Nottingham,Nottingham,"a typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…",32683.0
85,machine learning – antibody discovery scientist (ktp associa...,University of Nottingham,Nottingham,"isogenica is a research and development biotechnology company, which develops highly specialised antibodies for future clinical use.",32500.0
90,machine learning and artificial intelligence engineer,Nigel Frank International Limited,Nottingham•Remote,"creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.",60000.0
108,data science analyst,Sopra Steria,Cardiff NP10 8FZ,programming and build (data science).data engineering and manipulation: significant experience building data pipelines at scale using a range of tools and…,32000.0
109,senior data scientist,Harnham,Cardiff,"this company has data and technology on centre stage in delivering market-leading products.experience working with unstructured data such as image, speech or…",62500.0
112,lecturer in geographic data science,University of Bristol,Bristol BS8 1QU,the successful candidate will have an established expertise and research trajectory in using and/or developing state of the art methods within the broader data…,47501.0
113,senior research associate / research fellow in health data s...,University of Bristol,Bristol BS8 1QU,"we are seeking a talented postdoctoral scientist with expertise in biomedical data integration and analysis, data mining and/or causal inference.",41010.5
114,research associate or senior research associate in medical s...,University of Bristol,Bristol BS8 1QU,the longitudinal health and wellbeing ncs (lhw ncs) is coordinating a uk-wide team conducting analyses of population-based longitudinal studies linked to…,36445.5
116,machine learning engineer,Harnham,Cardiff,the role involves using machine learning to derive insight from unstructured mass text data to feed information to their ai platform for external clients.,65000.0
119,senior lecturer in medical statistics (co-director msc in me...,University of Bristol,Bristol BS8 1QU,"you have a strong track record, evidenced by publications in high impact journals, in applying quantitative methods to the design, conduct and analysis of…",56685.0
120,research associate/ senior research associate or research fe...,University of Bristol,Bristol BS8 1QU,applied ml on programmable networks.ml for resource network handling and control.applied ml on multi-access and mobile edge computing.,36445.5
121,data scientist,Harnham,Bristol,"exposure to large, real-time streamed data sets.drive best practices aLondon the data science community within the wider business.",52500.0
123,senior data scientist,Department for Education,Bristol,"engaging data owners and working with data engineers to source, manipulate and engineer data pipeline for the tool.providing ad-hoc analysis as required.",38397.5
124,senior data scientist,Defence Equipment & Support,Bristol,story-telling and data visualisation – including the visualisation of insights drawn from data and building of data driven products.,35150.0
125,senior data scientist,J Mccreedy Recruitment,Bristol•Remote,"they have big plans for their app over the coming years, and are looking for a talented data scientist to be part of the team!job types: full-time, permanent.",70000.0
133,defence data scientist,Metrica Recruitment,Bristol,three years' or more of experience in data science.your role would be to develop and design decision aid tools and models to carry out analysis for customers…,42500.0
136,data scientists & data engineers,Defence Science and Technology Laboratory,Bristol,big data engineering and data flow orchestration.story-telling and data visualisation – including the visualisation of insights drawn from data and building of…,39867.5
138,head of data science,ADLIB,Southampton•Remote,proven experience managing a team of data scientists/analysts.a specialist financial service institution is looking for a head of data science to scale the…,92500.0
140,fraud analytics manager,IPS Group,Southampton,you will have 4 direct reports who will all work within fraud analytics from graduate level to experienced data scientists.,45000.0
142,"senior manager, personalisation, marketing analytics & optim...",Henderson Scott,Southampton,"the team spans several disciplines, including data science, consumer & guest insight, commercial effectiveness, data governance, systems and personalisation.",65000.0
144,research associate ( data scientist for transport decarbonis...,Heriot Watt University,Edinburgh,the successful candidate will report directly to the principal investigator prof phil greening and be responsible for conducting data science tasks related to a…,37118.0
145,lecturer in artificial intelligence and machine learning - f...,Edinburgh Napier University,Edinburgh,the lecturer in artificial intelligence and machine learning will contribute to and build programmes and modules to support the expansion of the school’s…,45611.5
154,senior data scientist - machine learning (edinburgh or uk re...,FreeAgent,Edinburgh EH3 9QG•Remote,"looking for new opportunities to apply data science techniques.freeagent removes the stress and pain of dealing with business finances, allowing business…",72500.0
155,"associate/assistant professor in statistical data science, a...",Heriot Watt University,Edinburgh,"lead, carry out and publish internationally excellent research in actuarial science, statistical data science, applied probability or a related field;",51085.5
157,professor in artificial intelligence and machine learning,Edinburgh Napier University,Edinburgh,the professor in artificial intelligence and machine learning will contribute to and build programmes and modules to support the expansion of the school’s…,86027.5
0,financial data science associate - ktp associate - funds-axi...,Queen's University Belfast,Belfast BT7 1NN,demonstrable experience of managing a significant data analytics project over its life-cycle*.demonstrable proficiency with common data science and machine…,38000.0
2,data scientist (computer vision),MBN Recruitment Solutions,Belfast,"mbns client, one of london’s most exciting agri-tech start-ups are doubling both their data science and engineering teams following their successful funding…",30000.0
11,lead analytics & digital developer,Abacus Professional Recruitment,Belfast•Remote,executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.,46500.0
12,dsp algorithm machine learning engineer,IC Resources,Belfast,any experience of biomedical (or biological) data analysis or real-time embedded software optimisation would be a considerable plus.,42500.0
13,senior analytics & digital developer,Abacus Professional Recruitment,Belfast•Remote,executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.,39000.0
831,data scientist,Lumilinks,United Kingdom•Remote,"we’ve got massive plans to disrupt the data industry and we are looking for a quick-learning, curious, and creative thinking data scientist and analysts to join…",35000.0
1252,ai/machine learning specialist,Harnham,Birmingham,"provide technical leadership on data ingestion from a variety of sources e.g. quantitative, qualitative for analytics, and insight.",55000.0
1254,python backend engineer - machine learning,Eligo Recruitment Ltd,Birmingham•Remote,"£50000 - £70000 per annum + pension, shares, bonus.100% remote position currently, plan on occasional office work when safe to return, based on individuals.",60000.0
1255,digital media analytics manager,Harnham,Birmingham,leverage data science techniques to evaluate digital media performance; collating and mining data sets from a variety of sources using appropriate statistical…,59000.0
1256,ml engineer,Harnham,Birmingham,"productionise tactical data feeds, including documentation, whilst actively identifying new data sources.experience in the big data domain.",55000.0
1258,ai & ml specialist,Harnham,Birmingham,"mine and analyse huge data sets, working on a range of projects at any one time, leveraging advanced data science techniques.",60000.0
1261,senior machine learning engineer,Harnham,Birmingham,collaborating with data scientists to build a machine learning environment.using your knowledge of data to develop big data solutions.,70000.0
1262,ml and ai engineer,Nigel Frank International Limited,Birmingham•Remote,"creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.",60000.0
1263,machine learning engineer,Harnham,Birmingham,collaborating with data scientists to build a machine learning environment.using your knowledge of data to develop big data solutions.,70000.0
2001,data scientist,University of Glasgow,Glasgow,the aim of this post is to (1) harmonise and integrate anonymous patient data of the sophos cohort study (scottish psoriatic arthritis observational study and…,38654.5
2004,data science consultant,Metrica Recruitment,Glasgow,highly advantageous to have used python or r as well as cloud computing platforms and big data tools.over 18 months years of experience in operational research…,47500.0
2319,data science consultant,Metrica Recruitment,Glasgow,"working within a well-established data science team, almost 200 consultants.highly advantageous to have used python or r as well as cloud computing platforms…",47500.0
2630,senior lecturer in data science,The University of Manchester,Manchester M13 9PL,the school of social sciences is seeking a senior lecturer in data science.it is essential that all teaching staff on the programme are research active and…,61452.5
2631,lead data scientist (technical lead and team lead),Home Office,Manchester,"ideally you will have a background in working with big data challenges and cloud-based technologies, and you will have some knowledge of creating apps, apis or…",57613.0
2632,senior data science engineer,Searchability,Manchester,"techniques and toolkits for data cleansing, data processing and data preparation.any experience with techniques and toolkits for combining data or analysing…",62500.0
2634,artificial intelligence engineer,Nigel Frank International Limited,Manchester•Remote,"creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.",60000.0
2638,head of data science – manchester - £70-120k,Consult RPM,Manchester,the head of data science will play a key roll in growing the business using a plethora of data science skills.team development and management of junior staff.,100000.0
2640,principal technology advisor - ai,Information Commissioner's Office,Manchester,"the ico’s technology group deals with some of the most complex privacy, data rights, data protection and emerging technology issues that society faces.",56374.5
2641,senior deep learning / ai engineer,Warman O'Brien,Manchester•Remote,"you will be designing and applying deep learning algorithms and models to increase the accuracy, throughput, and reproducibility of genome interpretation.",100000.0
2643,machine learning and ai engineer,Nigel Frank International Limited,Manchester,"create and utilise algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity…",52500.0
3010,junior data scientist - sports data,Bettor Believe,London,"the data science team is a part of the world class quant research team, this consists of experts aLondon mathematical and statistical modelling, machine learning…",45000.0
3015,data scientist,Save the Children International,London WC2H•Remote,"knowledge of data structures and data management methods, the ability to analyse a problem and determine an efficient structure for the task; pulling of data…",43250.0
3017,graduate data scientist,SME Graduate Employment,London,"designing and managing analysis projects, processes and data- with diverse datasets including digital, research, and customer data;",32500.0
3021,senior data scientist - cyber insurtech - pricing,Propel,London,"access and improve the data gathering technologies in use.build algorithms and design experiments to merge, manage, interrogate and extract data.",80000.0
3032,data scientist (all levels),Harnham,London,looking for commercially strong data scientists to join their team!strong academic background (flexible on subject).minimum of 2 years commercial experience.,90000.0
3033,quantitative developer/junior data scientist,La Fosse Associates,London,they are eager to add a quantitative developer/junior data scientist to their team to join their team of highly skilled engineers and data scientists working on…,42500.0
3041,data scientist - graduate opportunity,Kubrick Group,London•Temporarily Remote,strong interest in data and technology.our data scientists/machine learning engineers apply data science algorithms to solve practical real-world problems…,36000.0
3044,"data scientist - graduate opportunity, uk",Kubrick Group,London•Temporarily Remote,strong interest in data and technology.our data scientists/machine learning engineers apply data science algorithms to solve practical real-world problems…,36000.0
3047,lead data scientist,CogX,London W1B 5AN,manage a data science team aLondon nlp focused projects and technically leading and advising the engineering team on ml requirements for data science projects.,110000.0
3055,data scientist,Sopra Steria,London HP2 7AH,"develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community.security clearance level pes 4.",40000.0
3056,"data scientist, risk data analytics team (srs) - 12 month ma...",Bank of England,London,"data management experience, for example cleaning and manipulating data to build datasets as well as developing and improving data pipelines.",52650.0
3068,data scientist - insurance,MBN Recruitment Solutions,London,you’ll be looking at how to apply some of the more recent data science and machine learning models to problems such as industry classification for segmenting…,90000.5
3070,"senior data scientist - quantitative modelling team, srs",Bank of England,London,"experience in building and supporting quantitative models, data solutions or data visualisations.this will include working with modelling specialists on…",71950.0
3073,de&s senior data scientist,Ministry of Defence,London,story-telling and data visualisation – including the visualisation of insights drawn from data and building of data driven products.,35150.0
3087,data scientist- fixed income,Cornwaliis Elt,London,"in this role you will be providing insight into their data, finding signals to improve their data quality, therefore enhancing their platform.",95000.0
3088,data scientist,Eames Consulting,London•Remote,"extensive modelling and delivering data science solutions in productions.my client, a data driven insurtech, is looking for a data scientist to join their…",85000.0
3089,financial crime data scientist,Harnham,London,"own the data management for sanctions screening lists aLondon a broad range of banking products, retail and corporate.python or r will be advantageous.",67500.0
3091,fraud data scientist,Harnham,London,a leading global management consultancy is seeking experienced data individuals to join their fraud data science team in market-leading projects for major…,55000.0
3092,lead data scientist,Consortia,London,"you will hit the ground running in a successful data science function, supported with the infrastructure and resources to produce the best solutions.",70000.0
3094,data scientist - banking - london,Morgan McKinley,London,2 years + experience working as a data scientist with modelling / statistical focus in your role.they're open to candidates from any background and are instead…,57500.0
3095,machine learning data engineer (atmospheric & earth observat...,Terrabotics,London•Remote,"you're comfortable working alongside back-end and front-end developers, data scientists, and data engineers and python developers.to at least msc-level.",51500.0
3101,data scientist,Nigel Frank International Limited,London,"extracting, cleansing, and analysing large volume of data from multiple data sources.promoting the data science team to the rest of the organisation through…",52500.0
3102,research fellow in medical statistics / data science,London School of Hygiene & Tropical Medicine,London,an exciting opportunity is available for an ambitious statistician / data scientist to undertake methodological research to identify cancer recurrence in linked…,43365.0
3105,data scientist,La Fosse Associates,London,"statistics: use statistics and creativity to extract possible risk indicators and trends from complex, sometimes unstructured data sources (including sensor…",50000.0
3110,data scientist (product),Harnham,London•Remote,"by collaborating data engineers, you will be making sure that the right data is collected to produce actionable, but more importantly, relevant insights to the…",70000.0
3115,data scientist (nlp),Harnham,London,"this will be in a very close and collaborative environment, working alongside data engineers, architects and other data scientists.",75000.0
3122,principal data scientist,MBN Recruitment Solutions,London,"you’ll be able to identify opportunities in data, have experience reviewing code for juniors colleagues, worked with data engineering, machine learning and non…",100000.0
3129,head of data science,Consortia,London,"experience working with marketing and engagement data i.e. behavioural data, digital interactions.this start-up is already turning a profit with a solid…",102500.0
3145,product data scientist,SoCode,London,"experience with relational databases for large data sets – sql.experience with big data technologies, hadoop, spark etc.",100000.0
3163,machine learning engineer - vc backed realtime analytics sta...,Propel,London•Remote,using big data technologies and software engineering skills to produce reliable and efficient data pipelines.you will collaborate with the senior tehcnologists…,65000.0
3168,senior data scientist,Nicholson Glover Consulting,London,"this role is a hands-on role working aLondon multiple programs of working including personalisation, operations and network data science capabilities.",85000.0
3171,nlp engineer - cyber scale up - full remote,Propel,London•Remote,"as a senior data scientist focused on natural language processing you will have a varied job where you’ll work on a variety of problems, drive best practices…",87500.0
3175,credit risk data scientist,Harnham,London,"a technical wizard when it comes to statistics, data science, data analysis and programming.a passion for fin-techs, data, statistics and solution finding.",62500.0
3179,data scientist - london - gbp55k - azure - predictive modell...,Nigel Frank International Limited,London,"building data pipelines using python, pyspark and databricks in ms azure.ad hoc data governance, assurance, and quality tasks.",50000.0
3182,head of theme for data science,Medical Research Council (MRC),London,"we have a broad interpretation of ‘data science’, including, but not limited to, research-focussed and relevant data analytics, data science engineering, data…",61227.0
3185,econometrician (all levels),Harnham,London,"up to £35,000 - £95,000 + benefits.as a data scientist you will be working on the following;developing and maintaining client relationships.",65000.0
3186,principal data science software engineer,Datasource,London,"coaching and mentoring other engineers to architect, design and develop software.this includes design discussions, code reviews, defining development processes…",70000.0
3191,product data scientist - all levels,Harnham,London,get familiar with data structures and tools.fluency in r or python for data analysis.passionate about turning large volumes of data into valuable insight.,60500.0
3193,senior data scientist,Datatonic,London•Remote,"multiple years experience as a data scientist, ideally from a consulting background.you will also be expected to provide high-quality advice to c-suite clients…",68750.0
3196,machine learning engineer (london/remote),Talenting,London•Remote,"you could have a background in computational statistics, mathematical optimisation, data mining, exploratory data analysis or predictive analytics.",62500.0
3201,principal data scientist (recommender systems),Harnham,London,you will be managing a team of high-caliber data scientists on projects focused on customer recommendation and recommender systems!,115000.0
3210,lecturer in computational neuroscience and/or machine learni...,King's College London,London,track record and commitment to innovation in teaching and assessment (esp. of data analysis methods as applied in cognitive/systems/computational neuroscience) …,51116.5
3212,quant developer | c# | .netcore | sports analytics | 80k+,Michael Page UK,London,"liaise with data science team to ensure they have model output data in a format that is clean and ready for analysis.write clean, scalable code using .",80000.0
3223,data analyst / scientist - permanent,SF Group,London,flag and monitor data quality to ensure confidence in the data used for analysis;using data driven technology to constantly enhance and adapt our offering.,60000.0
3224,data scientist - machine learning (python/sql),Linux Recruit,London,"you will be involved in the full lifetime of their data products responsible for analysis of data to inform strategic business decisions, designing and building…",85000.0
3225,decision scientist,Harnham,London,"this role will allow you to work both independently and as part of the data team, you will be required to problem solve on a daily basis using ml and ai.",60500.0
3227,machine learning engineer,Cord Technologies,London,"we have devised a unique methodology for automating the tasks related to preparing quality training data, in effect turning the training data problem into a…",90000.0
3238,marketing data analyst – global research agency,Hasson Associates,London,"in this role, you’ll be involved in developing advanced insights from a wealth of data sources including, survey data, unstructured data, big data, social media…",62500.0
3242,principal data scientist,Nicholson Glover Consulting,London,"a normal week might look like reviewing prediction models, digging into data to look for opportunities, writing code for production services, doing code reviews…",120000.0
3243,statistician (sd21/238),Animal and Plant Health Agency,London•Temporarily Remote,"build and share your knowledge about data sources, data manipulation and appropriate innovations.have worked in a statistical/data science field and are able…",34222.5
3244,head of marketing data science,Harnham,London,"experience in leading a marketing data & analytics team.work closely with other data teams to share knowledge, evaluate opportunities and pro-actively…",110000.0
3249,marketing data scientist,Harnham,London,sql and python are comfortably in your toolbox and you have experience with transforming data into a format that is relevant to the problem you are solving.,45000.0
3254,hr data scientist,Searchability,London,"you will have full ownership of the strategy encompassing people centred data, whilst developing innovative and creative ways to present visual data…",55000.0
3259,head of data science,Dataworks,London•Temporarily Remote,managing an exceptional team of data scientists or various seniorities.they have always invested in their data teams and their data scientists play both a…,90000.0
3262,head of data science,Harnham,London,be responsible for using a range of machine learning & data analytics to help solve business problems mainly looking at customers and assessing their risk.,110000.0
3269,senior data scientist – retailer,Salt Recruitment,Greater London,"ideally experience in productioninsing machine learning models and complex data science projects at scale.working on data science projects and building models,…",77500.0
3275,lead nlp scientist - cyber security scale up,Propel,London•Remote,you will also mentor coach and manage more junior data scientists and knowledge share with them.working closely with the current data scientists and…,85000.0
3276,data science graduate career accelerator,Bluetownonline Ltd,London•Remote,then go on to cover data science specialist topics including.you will gain certifications in each module as you go and will build industry-grade data science…,33000.0
3277,analytics manager,QuantSpark,London,being familiar with data science and have a keen interest in this space although you don’t need to be an expert as you will be working with expert data…,75000.0
3284,data scientist,Circadia Health,London,experience building early warning scores and/or predictive models for patient deterioration from time series medical data and ehr data.,80000.0
3288,python data analytics lead - front office,Vertus Partners,London,an understanding of data modelling practices.experience working with data visualization tools - preferably tableau.,100000.0
3291,data scientist - avp,McGregor Boyall,London,a highly skilled python/java/r developer with good data manipulation experience is required to work on our applications.5– 7 years of industry experience.,81000.0
3295,forensic data analytics manager,Harnham,London,a leading international bank is looking for a strong data-orientated forensic manager to join their team and develop financial crime data techniques.,60000.0
3305,"data science apprenticeship, greater london, 2022",GSK,London,"applying the tools and techniques for data analysis, data visualisation and presentation including learning and adopting best practices in software development…",30600.0
3306,"data science analyst - hybrid working, London",Nigel Frank International Limited,London,"my fast-growing and innovative client in the financial services industry is looking for a data scientist with strong experience in building ml models, python,…",50000.0
3313,data science manager / senior data scientist,Harnham,London,"experience using python for data science techniques, regression, clustering etc.experience using data visualisation tools such as power bi, looker, tableau.",105000.0
3321,marketing analyst / data scientist,The Focusrite Group,London•Remote,you will champion the use of data within the team to improve marketing performance and roi.excellent communication skills and the ability to tell a story with…,34000.0
3324,machine learning engineer,Senitor Recruitment,London•Remote,"we are looking for a talented machine learning engineers to join a market leading technology company to work in a newly implemented ai team, solving problems…",70000.0
3327,finance analytics lead,Stanton House,London,"experience working in multi-functional projects, ideally involving data science or big data.using large data sets to identify new commercial opportunities…",75000.0
3337,data science engineer - dv cleared,Searchability,London,"techniques and toolkits for data cleansing, data processing and data preparation.any experience with techniques and toolkits for combining data or analysing…",55000.0
3341,machine learning scientist (healthcare),Circadia Health,London,get your hands on real-word patient data.experience working with data coming from iot devices and sensor fusion.bonus points if in medical or health context.,80000.0
3344,data science manager,Harnham,London•Remote,"you'll be spending your time managing the team, leading projects from a technical perspective and liaising with stakeholders aLondon the business so you need to…",82500.0
3352,graduate machine learning engineer,Kubrick Group,London•Temporarily Remote,strong interest in data and technology.our machine learning engineers apply data science algorithms to solve practical real-world problems using structured and…,36000.0
3354,software engineer - machine learning and policies,Riverbright Recruitment,London•Remote,"• backend, cyber security, machine learning implementation, policies, data loss prevention, agent architecture and content inspection*.",65000.0
3355,"machine learning engineer; computer vision, data s",re&m,London,technology leader is looking for a well qualified software c++ engineer/scientist or graduate computer vision scientist/software engineer c++ to join its team…,42500.0
3361,"lead developer, python, computer vision",Corriculo,London,"senior data scientist, python, ai, cnn, computer vision.the new year brings new opportunities and if you are a senior data scientist with a strong python…",70000.0
3363,remote software developer - data science,GCS Recruitment Specialists Ltd,London•Remote,you will work within the data science team to develop solutions to business problems using discrete event simulation and optimisation techniques.,67500.0
3376,data science manager - financial services - london,Morgan McKinley,London,"the role holder will bring the ability to work with extremely large, complex data sets.the ability to merge large data sets, to generate insight from those…",97500.0
3377,transaction monitoring modelling & analytics,Harnham,London,work closely with data engineer and data science teams to provide subject matter expertise to data flow processes.,65000.0
3379,data science engineer,Harnham,London•Remote,"you will have the opportunity to mentor junior data scientists and move quickly into a lead position in the team.up to £80,000 + stock options + bonus.",72500.0
3647,analytics manager,Marks Sattin,Leeds,3+ years working with data and a strong idea on data transformation.experience of building data/analytical models.strong microsoft excel skills is a must.,60000.0
3650,fraud analytics manager,IPS Group,Leeds,you will have 4 direct reports who will all work within fraud analytics from graduate level to experienced data scientists.,45000.0
3651,data scientist,Nigel Frank International Limited,Leeds•Remote,exposure to analysing sales data.ideally power bi reporting or similar data visualisation background.you won't need to do much data engineering work as they…,45000.0
3653,senior people analytics specialist - corporate l&d,Nestlé,Leeds,demonstrated experience of successfully translating data into insights and excel in connecting with external environment and translating implications for people…,52500.0
3654,lecturer in creative ai,University of Leeds,University of Leeds,"examples of your expertise might include, but are not limited to: the design, development or analysis of data-driven media experiences (e.g. recommender systems…",45611.5
3657,analytics manager,Hermes,Leeds,3+ years working with data and a strong idea on data transformation.experience of building data/analytical models.strong microsoft excel skills is a must.,52500.0
3660,lecturer in machine learning for chemistry,University of Leeds,University of Leeds,specialist knowledge of applying machine learning / big data approaches to chemical problems.they should have a strong background in chemistry but be advancing…,45611.5
3752,analytics manager,Marks Sattin,Leeds,3+ years working with data and a strong idea on data transformation.experience of building data/analytical models.you will be accountable for:,60000.0
3762,analytics manager,Hermes,Leeds,3+ years working with data and a strong idea on data transformation.experience of building data/analytical models.you will be accountable for:,52500.0
4102,research associate in machine learning (fixed-term post),University of Bristol,Bristol,the department of computer science wish to appoint a research associate for a fixed-term period until july 2022.,34304.0
4103,"software engineer (python/c++), ai/machine learning - bristo...",Linux Recruit,Bristol,this position is for a software engineer who wants to build state of the art ai technology solutions using the latest tools.,62500.0
4104,"software engineer (c++/python), ai/machine learning - bristo...",Linux Recruit,Bristol,this position is for a software engineer who wants to build state of the art ai technology solutions using the latest tools.,57500.0
4105,information & data science research consultant,Frazer-Nash Consultancy,Bristol BS1 4BA,"successful candidates will have a technical background in a relevant area, such as knowledge graphs, ontology development, natural language processing, data…",55000.0
4106,senior machine learning engineer,IC Resources,Bristol,research and develop new object tracking features for graphics / vr / ar applications.training different types of neural networks.,77500.0
4149,senior data scientist / engineer,Frontier Resourcing,Bristol,help grow data science skills aLondon our teams.build credible statistical models from data and use best practice to generate reproducible work.,55000.0
4280,research associate in machine learning (fixed-term post),University of Bristol,Bristol,the department of computer science wish to appoint a research associate for a fixed-term period until july 2022.what we can offer you:,34304.0
4282,"software engineer (python/c++), ai/machine learning - bristo...",Linux Recruit,Bristol,"artificial intelligence, or simply 'ai', is one of the biggest tech buzz words of the last couple years.it seems to pop up in almost every other job advert in…",62500.0
4283,"software engineer (c++/python), ai/machine learning - bristo...",Linux Recruit,Bristol,"artificial intelligence, or simply 'ai', is one of the biggest tech buzz words of the last couple years.it seems to pop up in almost every other job advert in…",57500.0
4284,defence data scientist,Metrica Recruitment,Bristol,three years' or more of experience in data science.this highly successful strategy consultancy specialise in the government and defence sectors.,42500.0
4286,senior machine learning engineer,IC Resources,Bristol,"salary: £70-85,000, hybrid working, sponsorship and more!this senior machine learning engineer vacancy is based in bristol, uk with our client; a world leader…",77500.0
