,title,company,salary,location,summary
70,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Oosto (formerly AnyVision) is a world leading team of scientists and engineers that creates AI for the Real World.
L Android/IOS development experience.
"
71,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Experience in utilising data as an enabler of transformation through two of more of the following activities: exploratory analysis, hypothesis testing, data…
"
72,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
T : +44 (0)118 988 1150.
"
73,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Experience in utilising data as an enabler of transformation through two of more of the following activities: exploratory analysis, hypothesis testing, data…
"
74,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
75,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
76,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
77,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
78,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
79,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
80,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
81,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
82,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
83,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
84,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
85,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
86,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
87,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
88,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
89,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
90,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
91,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
92,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
93,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
94,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
95,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
96,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
97,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
98,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
99,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
100,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
101,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
102,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
103,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
104,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
105,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
106,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
107,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
108,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
109,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
110,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
111,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
112,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
113,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
114,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
115,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
116,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
117,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
118,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
119,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
120,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
121,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
122,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
123,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
124,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
125,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
126,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
127,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
128,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
129,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
130,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
131,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
132,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
133,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
134,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
135,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
136,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
137,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
138,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
139,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
140,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
141,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
142,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
143,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
144,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
145,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
146,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
147,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
148,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
149,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
150,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
151,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
152,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
153,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
154,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
