,title,company,salary,location,summary
1595,Safety Manager – Data Scientist/Toxicologist,Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1596,Researcher in Data Science,University of Derby,"£25,627 - £39,739 a year",Derby,"
A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…
"
1597,Safety Manager – Data Scientist/Toxicologist,No.7 Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1598,Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Considerable hands-on experience in data, advanced analytics, and AI (cloud platforms, data engineering, data management, visualization).
"
1599,Senior Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Experience with data manipulation and modelling - experience building models in Python would be advantageous but an understanding of modelling concepts is…
"
1600,Machine Learning Engineer,GMV,,Nottingham•Remote,"
Working in an agile, cross-functional team composed of both engineers and data scientists, taking responsibility for delivering predictive data products.
"
1601,Machine Learning and Artificial Intelligence Engineer,Nigel Frank International Limited,"£55,000 - £65,000 a year",Nottingham•Remote,"
Creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.
"
1602,Senior Analyst - Digital Analytics,Dunelm,,Syston,"
Ensure data collection is accurate and validated.
Strong knowledge of tag management systems such as Google Tag Manager or Tealium iQ and data layers.
"
1603,newData Scientist,Lumilinks,"£30,000 - £45,000 a year",United Kingdom•Remote,"
This job would suit an entry level data engineer or analyst with 2-3 years strong SQL experience.
You must have a keen interest in analytics and data, be…
"
1604,Data Scientist - Personalisation,Boots,,Nottingham,"
Experience with data visualisation tools such as PowerBI.
Experience of analysing data sets through SQL or similar tools.
"
1605,newPeople Analytics Partner,Rolls-Royce,,Derby,"
Experience of delivering data and analytical solutions to a business.
Interface with the People Analytics extended team (Krakow technical and data science team,…
"
1606,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol Corporation,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1607,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1608,Safety Manager – Data Scientist/Toxicologist,Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1609,Researcher in Data Science,University of Derby,"£25,627 - £39,739 a year",Derby,"
A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…
"
1610,Safety Manager – Data Scientist/Toxicologist,No.7 Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1611,Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Considerable hands-on experience in data, advanced analytics, and AI (cloud platforms, data engineering, data management, visualization).
"
1612,Senior Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Experience with data manipulation and modelling - experience building models in Python would be advantageous but an understanding of modelling concepts is…
"
1613,Machine Learning Engineer,GMV,,Nottingham•Remote,"
Working in an agile, cross-functional team composed of both engineers and data scientists, taking responsibility for delivering predictive data products.
"
1614,Machine Learning and Artificial Intelligence Engineer,Nigel Frank International Limited,"£55,000 - £65,000 a year",Nottingham•Remote,"
Creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.
"
1615,Senior Analyst - Digital Analytics,Dunelm,,Syston,"
Ensure data collection is accurate and validated.
Strong knowledge of tag management systems such as Google Tag Manager or Tealium iQ and data layers.
"
1616,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1617,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
This job would suit a junior level data analyst/scientist with 2+ years SQL and/or visualisation experience.
You must have a keen interest in data understanding…
"
1618,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1619,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1620,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1621,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1622,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1623,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1624,newData Scientist,Lumilinks,"£30,000 - £45,000 a year",United Kingdom•Remote,"
This job would suit an entry level data engineer or analyst with 2-3 years strong SQL experience.
You must have a keen interest in analytics and data, be…
"
1625,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1626,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1627,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1628,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1629,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1630,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1631,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1632,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
We’ve got massive plans to disrupt the data industry and we are looking for a quick-learning, curious, and creative thinking data scientist and analysts to join…
"
1633,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
You’ll be part of an analytical team that works alongside other HSE technical and…
"
1634,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Are you interested in applying your data science expertise in Industry 4.0 mRNA…
"
1635,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
£32,344 - £40,927 per annum.
"
1636,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1637,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
The Twinkl Growth Marketing department values data-led decision-making, experimentation and incremental improvement; you’ll be joining an uncommonly data…
"
1638,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1639,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Skills - Python, SQL, Power BI,.
"
1640,newData Scientist,Lumilinks,"£30,000 - £45,000 a year",United Kingdom•Remote,"
This job would suit an entry level data engineer or analyst with 2-3 years strong SQL experience.
You must have a keen interest in analytics and data, be…
"
1641,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1642,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1643,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1644,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1645,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1646,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1647,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1648,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
This job would suit a junior level data analyst/scientist with 2+ years SQL and/or visualisation experience.
You must have a keen interest in data understanding…
"
1649,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1650,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1651,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1652,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1653,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1654,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1655,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1656,newData Scientist,Lumilinks,"£30,000 - £45,000 a year",United Kingdom•Remote,"
This job would suit an entry level data engineer or analyst with 2-3 years strong SQL experience.
You must have a keen interest in analytics and data, be…
"
1657,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1658,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1659,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1660,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1661,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1662,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1663,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1664,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
This job would suit a junior level data analyst/scientist with 2+ years SQL and/or visualisation experience.
You must have a keen interest in data understanding…
"
1665,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1666,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1667,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
1668,Data Scientist,Methods Business and Digital Technology,"£40,000 - £50,000 a year",Sheffield S1 2BJ,"
Produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.
"
1669,Data Scientist (Marketing Analytics),Twinkl,"£30,000 a year",Sheffield•Remote,"
SEMRush, SEOMonitor and other SEO-specific data sources.
Analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…
"
1670,Supply Chain Specialist - Data Science,WM Morrisons Supermarkets,,West Yorkshire,"
Supporting the data science team with data and basic modelling tasks including:
Creating data visualisations and possessing an understanding of how to display…
"
1671,newData Scientist/ Senior Modelling Analyst,Oscar Technology,"£55,000 - £55,001 a year",Huddersfield,"
Ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.
Salary - Up to £55,000 plus 10% bonus.
"
1672,newData Scientist,Lumilinks,"£30,000 - £45,000 a year",United Kingdom•Remote,"
This job would suit an entry level data engineer or analyst with 2-3 years strong SQL experience.
You must have a keen interest in analytics and data, be…
"
1673,Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
1674,Research Associate in Developing Data-Analytics/Visualisatio...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Insight from data generated in experiments and/or the process digital twin.
Big-data analytics/visualisation tools to guide experimental efforts to synthesise…
"
1675,Research Associate in Machine Learning for Medical Image Ana...,University of Sheffield,"£32,344 - £40,927 a year",Sheffield,"
Learning software tool on our large-scale cardiac MRI data from pulmonary hypertension patients to improve prognosis and.
"
